"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-01","81",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-02","81",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-03","76",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-04","70",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-05","76",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-06","78",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-07","74",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-08","81",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-09","79",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-10","81",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-11","83",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-12","74",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-13","77",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-14","80",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-15","82",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-16","78",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-17","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-18","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-19","92",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-20","92",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-21","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-22","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-23","90",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-24","91",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-25","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-26","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-27","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-28","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-29","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-04-30","91",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-01","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-02","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-03","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-04","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-05","92",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-06","95",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-07","96",,
