,OS,Country,City,Provider,Gender,DOB,facebook_use,voter_reg,works_in_oil_gas,climate_change_importance,climate_change_worry,climate_change_personal_harm,climate_change_future_gen_harm,county
92,iOS,US,Colorado Springs,Unknown,female,2001,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A moderate amount,A great deal,El Paso County
93,Android,US,Denver,AT&T,female,1985,Less than once a month,"Registered to vote, registered as Republican ",No,Very important,Somewhat worried,A moderate amount,A great deal,Denver County
94,Android,US,Unknown,Unknown,female,1991,Every day,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,A great deal,Other
95,Android,US,Colorado Springs,T-Mobile,male,1988,Every day,"Registered to vote, registered as Republican ",No,Very important,Somewhat worried,A moderate amount,A great deal,El Paso County
96,Android,US,Denver,AT&T,female,1993,Every day,Not registered to vote,No,Very important,Somewhat worried,Only a little,A moderate amount,Montrose County
97,Android,US,Littleton,AT&T,female,1957,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A great deal,Arapahoe County
98,iOS,US,Pueblo,AT&T,female,1971,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A moderate amount,A great deal,Pueblo County
99,Web,US,Colorado Springs,Unknown,male,1993,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Arapahoe County
100,Android,US,Arvada,Verizon,female,1979,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A great deal,Montrose County
101,Android,US,Denver,T-Mobile,female,1975,Every day,"Registered to vote, registered as Republican ",No,Very important,Somewhat worried,A moderate amount,A great deal,Jefferson County
102,Android,US,Trinidad,T-Mobile,male,1968,Every day,Not registered to vote,No,Very important,Somewhat worried,A great deal,A great deal,Denver County
103,iOS,US,Colorado Springs,Verizon,male,1982,Once a month,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Not at all,Not at all,El Paso County
