OS,Country,City,Provider,Gender,DOB,facebook_use,voter_reg,works_in_oil_gas,climate_change_importance,climate_change_worry,climate_change_personal_harm,climate_change_future_gen_harm,county
iOS,US,Aurora,T-Mobile,female,1994,Every day,I don’t know,Not sure,Not at all important,Not at all worried,Not at all,Don’t know,El Paso County
Web,US,Littleton,Unknown,female,1974,Less than once a month,"Registered to vote, registered as Democratic",No,Not at all important,Not very worried,Only a little,Not at all,Denver County
Android,US,Denver,Verizon,male,1984,I never use Facebook or Instagram,Not registered to vote,Not sure,Not at all important,Somewhat worried,Don’t know,Don’t know,Other
Android,US,Del Norte,Unknown,female,1968,Once a week,"Registered to vote, registered as Republican ",No,Very important,Somewhat worried,A moderate amount,A great deal,Rio Grande
Web,US,Aurora,Unknown,female,1998,Once a week,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,Only a little,A moderate amount,Denver County
Web,US,Calhan,Unknown,male,1955,Every day,"Registered to vote, registered as Democratic","Yes, both myself and close friends or family members are employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Jefferson County
iOS,US,Greeley,Unknown,female,1999,Every day,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A great deal,Weld County
Web,US,Monument,Unknown,male,1997,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,El Paso County
Web,US,Fort Collins,Unknown,male,1980,Every day,"Registered to vote, registered as Democratic","Yes, both myself and close friends or family members are employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Pueblo County
Web,US,Colorado Springs,Unknown,male,1998,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Arapahoe County
Web,US,Denver,Unknown,male,1950,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not very worried,Only a little,Only a little,Denver County
iOS,US,Longmont,Unknown,female,1962,I never use Facebook or Instagram,"Registered to vote, registered as Republican ",No,Not too important,Not at all worried,Not at all,Don’t know,Boulder County
Web,US,Denver,Unknown,female,1980,Once a week,I don’t know,No,Not too important,Not very worried,Only a little,Only a little,Pueblo County
Web,US,Denver,Unknown,female,1950,Every day,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Only a little,Only a little,Jefferson County
Android,US,Unknown,Verizon,male,1974,Once a month,I don’t know,"Yes, a close friend or family member is employed in the oil and gas industry",Not too important,Not very worried,Only a little,Only a little,Other
Android,US,Pagosa Springs,Unknown,male,1956,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not very worried,A moderate amount,A great deal,Archuleta
Android,US,Denver,Unknown,female,1965,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Not very worried,Only a little,A moderate amount,Crowley
Web,US,Colorado Springs,Unknown,female,1990,Once a week,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,A moderate amount,Not at all,El Paso County
Android,US,Grand Junction,T-Mobile,male,1993,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,Only a little,Mesa County
Android,US,Greeley,Unknown,female,1955,Once a week,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Weld County
Web,US,Denver,Unknown,female,1952,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Not very worried,Only a little,Only a little,Douglas County
iOS,US,Denver,Unknown,female,1993,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Arapahoe County
