OS,Country,City,Provider,Gender,DOB,facebook_use,voter_reg,works_in_oil_gas,climate_change_importance,climate_change_worry,climate_change_personal_harm,climate_change_future_gen_harm,county
Web,US,Denver,Unknown,male,1981,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A great deal,Denver County
Web,US,Aurora,Unknown,male,1985,Every day,"Registered to vote, registered as Democratic",Not sure,Very important,Somewhat worried,A moderate amount,A moderate amount,Larimer County
Web,US,Westminster,Unknown,male,1982,Every day,"Registered to vote, registered as Democratic",No,Very important,Very worried,A great deal,A great deal,El Paso County
iOS,US,Denver,Unknown,female,1970,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not at all worried,Not at all,Only a little,Jefferson County
Android,US,Golden,Unknown,male,1978,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,santa clara
Android,US,Denver,AT&T,female,1966,Every day,I don’t know,No,Very important,Somewhat worried,A moderate amount,A moderate amount,Arapahoe County
Android,US,Aurora,T-Mobile,male,1997,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",Not sure,Extremely important,Very worried,A great deal,A great deal,Denver County
Android,US,Littleton,Unknown,female,1977,Less than once a month,Not registered to vote,No,Not too important,Not at all worried,Only a little,Not at all,Denver County
Android,US,Arvada,AT&T,female,1988,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A great deal,Jefferson County
Android,US,Denver,Verizon,female,1994,Once a week,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A great deal,A great deal,Weld County
iOS,US,Arvada,Sprint,male,1989,Every day,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,A moderate amount,Don’t know,Denver County
Android,US,Denver,AT&T,male,1971,Once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Only a little,A great deal,Jefferson County
Android,US,Denver,AT&T,male,1998,Every day,Not registered to vote,No,Somewhat important,Not very worried,A moderate amount,A great deal,Denver County
Android,US,Arvada,Sprint,male,1979,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,Don’t know,Jefferson County
Android,US,Denver,Verizon,female,1991,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,El Paso County
Android,US,Denver,AT&T,female,1967,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Pueblo County
iOS,US,Denver,Unknown,female,1980,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not very worried,Don’t know,Don’t know,Larimer County
Android,US,Denver,Unknown,male,1973,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,Don’t know,A great deal,Denver County
Web,US,Parker,Unknown,female,1950,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,Only a little,A great deal,Douglas County
Android,US,Denver,Unknown,female,1967,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,El Paso County
iOS,US,Boulder,Unknown,male,1964,Less than once a month,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A great deal,Boulder County
Android,US,Aurora,Unknown,female,1966,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Arapahoe County
iOS,US,Eagle,Unknown,female,1995,Every day,"Registered to vote, registered as Democratic",No,Very important,Very worried,A moderate amount,A great deal,Eagle County
iOS,US,Fort Collins,Sprint,female,1988,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Not too important,Not very worried,Don’t know,Don’t know,Larimer County
iOS,US,Denver,Unknown,female,1970,Every day,Not registered to vote,No,Very important,Somewhat worried,Only a little,A moderate amount,I don’t live in Colorado
Android,US,Boulder,Unknown,male,1978,Every day,"Registered to vote, registered as Democratic",No,Very important,Very worried,A great deal,A great deal,Eagle County
Android,US,Loveland,Unknown,female,1952,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Not very worried,Only a little,A moderate amount,Larimer County
Android,US,Denver,Unknown,male,1978,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,I don't live in Colorado.
Android,US,Thornton,Verizon,female,1982,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Adams County
iOS,US,Denver,Verizon,female,1975,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,Only a little,A great deal,Mesa County
Android,US,Aurora,T-Mobile,female,1973,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Denver County
Web,US,Denver,Unknown,male,1979,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A moderate amount,A great deal,Denver County
Web,US,Denver,Unknown,female,1972,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
iOS,US,Aurora,Sprint,male,1989,Every day,Not registered to vote,"Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A great deal,Denver County
Android,US,Denver,T-Mobile,female,1984,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A great deal,Jefferson County
Android,US,Littleton,Unknown,female,1993,Every day,I don’t know,No,Somewhat important,Not very worried,Don’t know,Don’t know,Jefferson County
iOS,US,Parker,T-Mobile,male,1988,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A great deal,A great deal,Douglas County
Android,US,Fort Collins,Verizon,female,1983,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A great deal,Larimer County
iOS,US,Denver,AT&T,female,1976,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Arapahoe County
iOS,US,Denver,Unknown,female,1986,Every day,"Registered to vote, registered as Republican ",No,Very important,Very worried,A great deal,A great deal,Douglas County
Android,US,Arvada,Unknown,male,1991,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Pueblo County
Android,US,Loveland,Verizon,female,1987,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Somewhat worried,A moderate amount,A great deal,Larimer County
Android,US,Greeley,T-Mobile,female,1981,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Don’t know,A great deal,Weld County
iOS,US,Denver,T-Mobile,female,1988,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
iOS,US,Longmont,Unknown,male,1988,Once a week,"Registered to vote, registered as Democratic",No,Very important,Very worried,A moderate amount,A great deal,Boulder County
iOS,US,Denver,Verizon,female,1983,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A moderate amount,A great deal,Douglas County
iOS,US,Arvada,Unknown,female,1972,Every day,I don’t know,"Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Montrose County
iOS,US,Denver,AT&T,female,1998,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Denver County
iOS,US,Vail,Unknown,male,1990,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Jefferson County
iOS,US,Englewood,Unknown,male,1996,I never use Facebook or Instagram,"Registered to vote, registered as Republican ",No,Not too important,Somewhat worried,A moderate amount,Not at all,Denver County
Web,US,Milliken,Unknown,female,1981,Once a month,"Registered to vote, registered as Republican ",No,Very important,Very worried,A moderate amount,A great deal,Weld County
Web,US,Denver,Unknown,female,1994,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A moderate amount,A moderate amount,Jefferson County
Android,US,Arvada,Unknown,male,1988,I never use Facebook or Instagram,I don’t know,Not sure,Extremely important,Very worried,A great deal,A great deal,None
iOS,US,Aurora,Unknown,female,2000,Once a month,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,Only a little,A great deal,Douglas County
Android,US,Denver,Verizon,male,2000,Every day,I don’t know,No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Pueblo County
Android,US,Denver,T-Mobile,female,1965,Every day,"Registered to vote, registered as Republican ",Not sure,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,None
Android,US,Denver,Verizon,female,1961,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Somewhat worried,A moderate amount,A great deal,Larimer County
Android,US,Denver,AT&T,male,1984,Once a week,I don’t know,"Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A moderate amount,A moderate amount,Denver County
Android,US,Westminster,AT&T,female,2000,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Somewhat worried,A great deal,A great deal,Denver County
Android,US,Brighton,AT&T,female,1995,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A moderate amount,A great deal,Adams County
Android,US,Denver,T-Mobile,female,1980,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Not very worried,A moderate amount,A moderate amount,Denver County
Android,US,Denver,AT&T,female,1988,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Jefferson County
Android,US,Denver,Unknown,male,1986,Every day,I don’t know,No,Somewhat important,Somewhat worried,A moderate amount,A great deal,I'm not in colorado
Web,US,Broomfield,Unknown,female,1984,Once a week,Not registered to vote,Not sure,Very important,Very worried,A moderate amount,A great deal,Boulder County
Android,US,Pagosa Springs,Unknown,male,1980,Every day,"Registered to vote, registered as Republican ",No,Very important,Somewhat worried,A great deal,A great deal,Pueblo County
Web,US,Arvada,Unknown,female,1984,Once a month,"Registered to vote, registered as Republican ",No,Very important,Somewhat worried,Don’t know,A great deal,Jefferson County
iOS,US,Denver,Unknown,female,1990,Every day,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A great deal,Denver County
iOS,US,Denver,T-Mobile,female,1988,Every day,Not registered to vote,"Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A moderate amount,A great deal,Adams County
Web,US,Littleton,Unknown,male,1976,Less than once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Jefferson County
Android,US,Denver,T-Mobile,male,1980,I never use Facebook or Instagram,Not registered to vote,"Yes, a close friend or family member is employed in the oil and gas industry",Not too important,Not very worried,A moderate amount,A great deal,Denver County
Android,US,Denver,Unknown,female,1990,Every day,Not registered to vote,No,Very important,Somewhat worried,Only a little,A great deal,Denver County
Android,US,Longmont,Unknown,female,1960,Less than once a month,Not registered to vote,Not sure,Very important,Somewhat worried,A moderate amount,A moderate amount,Weld County
Android,US,Denver,Unknown,female,1985,Every day,Not registered to vote,No,Very important,Somewhat worried,Don’t know,Don’t know,Montrose County
Web,US,Salida,Unknown,male,1973,Less than once a month,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,Only a little,A great deal,Chaffee
Android,US,Boulder,Unknown,male,1969,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A moderate amount,Denver County
Android,US,Castle Rock,Verizon,male,1989,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not very worried,Only a little,Only a little,Douglas County
iOS,US,Denver,Unknown,female,2001,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",Not sure,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Garfield County
Android,US,Westminster,AT&T,female,1996,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Adams County
iOS,US,Denver,Unknown,male,1984,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,Only a little,A great deal,Jefferson County
Android,US,Littleton,Verizon,male,1963,Every day,Not registered to vote,"Yes, a close friend or family member is employed in the oil and gas industry",Not at all important,Very worried,Only a little,Don’t know,Denver County
Android,US,Denver,T-Mobile,male,1995,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A great deal,Weld County
Android,US,Denver,AT&T,female,1980,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Not very worried,A moderate amount,A great deal,Jefferson County
Web,US,Denver,Unknown,male,1990,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Denver County
iOS,US,Denver,Unknown,female,2000,Every day,Not registered to vote,No,Somewhat important,Not very worried,A great deal,A moderate amount,Jefferson County
Web,US,Fort Collins,Unknown,male,1979,Once a week,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,Only a little,A moderate amount,Adams County
iOS,US,Commerce City,Unknown,female,1965,Every day,"Registered to vote, registered as Democratic",Not sure,Very important,Somewhat worried,A moderate amount,A moderate amount,Adams
iOS,US,Denver,Verizon,male,1985,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A great deal,A great deal,Denver County
Android,US,Parker,Unknown,female,1984,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Arapahoe County
iOS,US,Denver,Unknown,female,1993,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Somewhat worried,A moderate amount,A great deal,Jefferson County
iOS,US,Denver,Unknown,female,2002,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A moderate amount,Denver County
Android,US,Arvada,Boost Mobile,male,1988,Less than once a month,Not registered to vote,No,Not at all important,Not at all worried,A moderate amount,A moderate amount,marathon county
Android,US,Denver,Unknown,female,1993,Less than once a month,"Registered to vote, registered as Democratic",No,Very important,Very worried,A great deal,A great deal,Jefferson County
iOS,US,Aurora,Verizon,female,1986,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Somewhat worried,Don’t know,A moderate amount,Arapahoe County
Android,US,Denver,Unknown,female,1970,Once a month,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Jefferson County
iOS,US,Denver,Sprint,male,1959,Once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Only a little,Only a little,Denver County
iOS,US,Denver,Verizon,male,1968,Every day,"Registered to vote, registered as Democratic",No,Not too important,Not very worried,Not at all,Only a little,Adams County
iOS,US,Denver,T-Mobile,female,1961,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,Only a little,A great deal,Adams County
Android,US,Arvada,Unknown,male,1969,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Not very worried,Not at all,A moderate amount,None
Android,US,Arvada,T-Mobile,female,1985,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,A great deal,A great deal,Denver County
Android,US,Brighton,Unknown,female,1990,Less than once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Somewhat important,Somewhat worried,Not at all,Not at all,Adams County
Android,US,Littleton,T-Mobile,male,1986,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Douglas County
iOS,US,Denver,Unknown,male,1999,Once a week,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Very worried,A moderate amount,A moderate amount,Douglas County
Android,US,Westminster,AT&T,male,1983,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Adams County
Android,US,Denver,AT&T,male,1970,Every day,"Registered to vote, registered as Democratic",No,Very important,Not very worried,A great deal,A great deal,Denver County
Android,US,Denver,Unknown,male,1998,Every day,"Registered to vote, registered as Republican ",No,Very important,Somewhat worried,Only a little,A moderate amount,Arapahoe County
Web,US,Colorado Springs,Unknown,female,1946,Less than once a month,"Registered to vote, registered as Republican ",No,Not too important,Not at all worried,Not at all,Only a little,El Paso County
Web,US,Colorado Springs,Unknown,male,1971,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Delta County
iOS,US,Colorado Springs,Unknown,male,1998,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,Not at all,A great deal,El Paso County
Web,US,Colorado Springs,Unknown,male,1985,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,El Paso County
Web,US,Colorado Springs,Unknown,male,1995,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,Only a little,Denver County
Android,US,Colorado Springs,Unknown,female,1952,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,El Paso County
iOS,US,Colorado Springs,T-Mobile,female,1994,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,El Paso County
Web,US,Colorado Springs,Unknown,female,1985,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,El Paso County
iOS,US,Fountain,Unknown,female,1955,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Huerfano
iOS,US,Colorado Springs,Unknown,female,1992,Every day,"Registered to vote, registered as Republican ",No,Not at all important,Not at all worried,Don’t know,Don’t know,El Paso County
Web,US,Walsenburg,Unknown,female,1982,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Huerfano
Android,US,Pueblo,Unknown,female,1982,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,Only a little,A great deal,Pueblo County
Web,US,Pueblo,Unknown,male,1981,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A great deal,A great deal,Pueblo County
Android,US,Colorado Springs,AT&T,female,1972,Less than once a month,"Registered to vote, registered as Republican ",No,Extremely important,Very worried,A great deal,A great deal,Fremont County
Android,US,Colorado Springs,Unknown,female,1949,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A great deal,A great deal,El Paso County
Android,US,Colorado Springs,AT&T,female,1988,Every day,Not registered to vote,No,Extremely important,Very worried,A moderate amount,A great deal,El Paso County
Android,US,Colorado Springs,Unknown,male,1971,Once a month,"Registered to vote, registered as Republican ",No,Extremely important,Very worried,A great deal,A great deal,Fremont County
Android,US,Colorado Springs,T-Mobile,male,1976,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,El Paso County
iOS,US,Monument,Unknown,female,1992,Every day,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,El Paso County
Android,US,Colorado Springs,AT&T,male,1955,Less than once a month,"Registered to vote, registered as Republican ",No,Extremely important,Very worried,A moderate amount,A great deal,El Paso County
Android,US,Cañon City,AT&T,female,1992,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Fremont County
Android,US,Colorado Springs,Unknown,female,1984,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,El Paso County
iOS,US,Colorado Springs,Unknown,female,1993,Once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,Only a little,A great deal,Pueblo County
Web,US,Colorado Springs,Unknown,male,1971,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,El Paso County
iOS,US,Colorado Springs,AT&T,female,1991,Every day,Not registered to vote,No,Somewhat important,Not very worried,Only a little,Only a little,Clintin
Android,US,Colorado Springs,T-Mobile,female,1985,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,Only a little,A moderate amount,El Paso County
Android,US,Walsenburg,Unknown,female,1953,Every day,"Registered to vote, registered as Republican ",No,Extremely important,Somewhat worried,A moderate amount,A moderate amount,El Paso County
Web,US,Colorado Springs,Unknown,female,1936,Every day,"Registered to vote, registered as Republican ",No,Very important,Not very worried,A moderate amount,A great deal,El Paso County
iOS,US,Colorado Springs,Unknown,female,1997,Every day,Not registered to vote,Not sure,Very important,Very worried,A moderate amount,A great deal,El Paso County
iOS,US,Colorado Springs,Unknown,female,2001,Every day,"Registered to vote, registered as Republican ",No,Extremely important,Very worried,A great deal,A great deal,Pueblo County
iOS,US,Colorado Springs,AT&T,female,1955,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,El Paso County
iOS,US,Colorado Springs,T-Mobile,male,2002,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,El Paso County
iOS,US,Colorado Springs,Verizon,female,1985,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,El Paso County
Web,US,La Junta,Unknown,female,1967,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A moderate amount,A great deal,otero
Android,US,Colorado Springs,AT&T,female,1980,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,El Paso County
Android,US,Colorado Springs,Unknown,male,1971,Less than once a month,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,A great deal,El Paso County
Android,US,Colorado Springs,Verizon,female,1984,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A moderate amount,A great deal,El Paso County
Android,US,Colorado Springs,Unknown,male,1974,Once a week,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A great deal,El Paso County
Android,US,Pueblo,AT&T,female,1985,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Only a little,A moderate amount,Pueblo County
Web,US,Monument,Unknown,female,1995,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,El Paso County
iOS,US,Colorado Springs,Unknown,female,1951,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,El Paso County
iOS,US,Colorado Springs,Unknown,female,1991,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,Only a little,A moderate amount,El Paso County
Android,US,Colorado Springs,Unknown,male,1958,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not at all important,Not at all worried,Not at all,Not at all,El Paso County
Web,US,Colorado Springs,Unknown,female,1956,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A moderate amount,El Paso County
Web,US,Colorado Springs,Unknown,male,1952,Every day,Not registered to vote,Not sure,Not too important,Not very worried,Only a little,A moderate amount,none
Android,US,La Junta,Verizon,female,1989,Less than once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Extremely important,Somewhat worried,Only a little,A great deal,Otero County
Web,US,Colorado Springs,Unknown,male,1988,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,Don’t know,Montrose County
iOS,US,Colorado Springs,Unknown,male,1979,I never use Facebook or Instagram,"Registered to vote, registered as Republican ",No,Somewhat important,Not very worried,Only a little,Only a little,El Paso County
Web,US,Colorado Springs,Unknown,female,1963,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,El Paso County
Android,US,Colorado Springs,Unknown,male,1986,Once a week,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,Only a little,A great deal,El Paso County
iOS,US,Pueblo,Verizon,male,1965,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,Only a little,A great deal,Pueblo County
iOS,US,Colorado Springs,T-Mobile,female,1975,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Not very worried,Only a little,A great deal,El Paso County
Android,US,Trinidad,Unknown,female,1979,I never use Facebook or Instagram,I don’t know,Not sure,Somewhat important,Somewhat worried,Don’t know,Don’t know,Trinidad
Android,US,Colorado Springs,AT&T,female,1981,Every day,"Registered to vote, registered as Democratic",No,Not too important,Not very worried,Not at all,Only a little,El Paso County
Android,US,Unknown,Verizon,male,1980,Every day,Not registered to vote,"Yes, a close friend or family member is employed in the oil and gas industry",Not at all important,Not at all worried,Not at all,Not at all,I live in Utah
Android,US,Unknown,Verizon,male,1991,Every day,Not registered to vote,"Yes, I am employed in the oil and gas industry",Extremely important,Somewhat worried,A moderate amount,A great deal,Adams County
iOS,US,Parker,AT&T,male,1981,Less than once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Not at all important,Not at all worried,Not at all,Not at all,Douglas County
Android,US,Golden,Unknown,male,1977,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, I am employed in the oil and gas industry",Extremely important,Not very worried,Not at all,A great deal,Jefferson County
iOS,US,Colorado Springs,Unknown,female,1993,Once a month,"Registered to vote, registered as Republican ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Somewhat important,Somewhat worried,A moderate amount,A moderate amount,El Paso County
iOS,US,Fort Morgan,T-Mobile,female,1991,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Morgan County
Android,US,Fort Morgan,Viaero,male,1989,Every day,Not registered to vote,No,Not at all important,Not at all worried,Not at all,Not at all,Weld County
Android,US,Denver,T-Mobile,female,1989,Less than once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not at all worried,Only a little,Only a little,NA
iOS,US,Denver,Verizon,male,1987,Once a week,Not registered to vote,No,Not at all important,Not at all worried,Not at all,Not at all,Denver County
Web,US,Denver,Unknown,male,1975,Every day,"Registered to vote, registered as Republican ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Extremely important,Not very worried,A great deal,A moderate amount,Denver County
