,IUCN,IUCN Category,SPEC,Species,COU,Country,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
72,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,GRC,Greece,NBR,Number,0,Units,,,3.0,,
73,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,GRC,Greece,NBR,Number,0,Units,,,13.0,,
74,THREATENED,Total number of threatened species,MAMMAL,Mammals,GRC,Greece,NBR,Number,0,Units,,,29.0,,
75,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,GRC,Greece,NBR,Number,0,Units,,,13.0,,
76,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,GRC,Greece,NBR,Number,0,Units,,,3.0,,
77,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,GRC,Greece,NBR,Number,0,Units,,,13.0,,
78,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,,,87.0,,
79,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,,,76.0,,
80,ENDANGERED,Number of endangered species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,,,3.0,,
81,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,,,5.0,,
82,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,,,6.0,,
83,THREATENED,Total number of threatened species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,,,14.0,,
84,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,,,3.0,,
85,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,,,5.0,,
86,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,,,6.0,,
87,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,ISL,Iceland,NBR,Number,0,Units,,,4.0,,
88,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,IRL,Ireland,NBR,Number,0,Units,,,57.0,,
89,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,IRL,Ireland,NBR,Number,0,Units,,,46.0,,
90,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,IRL,Ireland,NBR,Number,0,Units,,,1.0,,
91,THREATENED,Total number of threatened species,MAMMAL,Mammals,IRL,Ireland,NBR,Number,0,Units,,,1.0,,
92,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,ITA,Italy,NBR,Number,0,Units,,,126.0,,
93,ENDANGERED,Number of endangered species,MAMMAL,Mammals,ITA,Italy,NBR,Number,0,Units,,,8.0,,
94,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,ITA,Italy,NBR,Number,0,Units,,,2.0,,
95,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,ITA,Italy,NBR,Number,0,Units,,,13.0,,
96,THREATENED,Total number of threatened species,MAMMAL,Mammals,ITA,Italy,NBR,Number,0,Units,,,23.0,,
97,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,JPN,Japan,NBR,Number,0,Units,,,160.0,,
98,ENDANGERED,Number of endangered species,MAMMAL,Mammals,JPN,Japan,NBR,Number,0,Units,,,12.0,,
99,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,JPN,Japan,NBR,Number,0,Units,,,13.0,,
100,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,JPN,Japan,NBR,Number,0,Units,,,9.0,,
101,THREATENED,Total number of threatened species,MAMMAL,Mammals,JPN,Japan,NBR,Number,0,Units,,,34.0,,
102,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,,,125.0,,
103,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,,,1.0,,
104,ENDANGERED,Number of endangered species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,,,4.0,,
105,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,,,1.0,,
106,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,,,9.0,,
107,THREATENED,Total number of threatened species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,,,14.0,,
108,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,,,0.0,,
109,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,,,0.0,,
110,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,,,0.0,,
111,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,0,Units,,,564.0,,
112,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,0,Units,,,162.0,,
113,ENDANGERED,Number of endangered species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,0,Units,,,50.0,,
114,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,0,Units,,,9.0,,
115,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,0,Units,,,91.0,,
116,THREATENED,Total number of threatened species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,0,Units,,,150.0,,
117,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,0,Units,,,20.0,,
118,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,0,Units,,,7.0,,
119,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,0,Units,,,55.0,,
120,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,NLD,Netherlands,NBR,Number,0,Units,,,53.0,,
121,ENDANGERED,Number of endangered species,MAMMAL,Mammals,NLD,Netherlands,NBR,Number,0,Units,,,3.0,,
122,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,NLD,Netherlands,NBR,Number,0,Units,,,2.0,,
123,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,NLD,Netherlands,NBR,Number,0,Units,,,6.0,,
124,THREATENED,Total number of threatened species,MAMMAL,Mammals,NLD,Netherlands,NBR,Number,0,Units,,,11.0,,
125,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,NZL,New Zealand,NBR,Number,0,Units,,,65.0,,
126,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,NZL,New Zealand,NBR,Number,0,Units,,,37.0,,
127,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,NZL,New Zealand,NBR,Number,0,Units,,,2.0,,
128,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,NZL,New Zealand,NBR,Number,0,Units,,,6.0,,
129,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,NZL,New Zealand,NBR,Number,0,Units,,,2.0,,
130,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,NOR,Norway,NBR,Number,0,Units,,,89.0,,
131,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,NOR,Norway,NBR,Number,0,Units,,,73.0,,
132,ENDANGERED,Number of endangered species,MAMMAL,Mammals,NOR,Norway,NBR,Number,0,Units,,,5.0,,
133,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,NOR,Norway,NBR,Number,0,Units,,,5.0,,
134,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,NOR,Norway,NBR,Number,0,Units,,,7.0,,
135,THREATENED,Total number of threatened species,MAMMAL,Mammals,NOR,Norway,NBR,Number,0,Units,,,17.0,,
136,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,NOR,Norway,NBR,Number,0,Units,,,5.0,,
137,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,NOR,Norway,NBR,Number,0,Units,,,5.0,,
138,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,NOR,Norway,NBR,Number,0,Units,,,7.0,,
139,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,POL,Poland,NBR,Number,0,Units,,,112.0,,
140,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,POL,Poland,NBR,Number,0,Units,,,100.0,,
141,ENDANGERED,Number of endangered species,MAMMAL,Mammals,POL,Poland,NBR,Number,0,Units,,,10.0,,
142,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,POL,Poland,NBR,Number,0,Units,,,2.0,,
143,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,POL,Poland,NBR,Number,0,Units,,,1.0,,
144,THREATENED,Total number of threatened species,MAMMAL,Mammals,POL,Poland,NBR,Number,0,Units,,,13.0,,
145,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,POL,Poland,NBR,Number,0,Units,,,10.0,,
146,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,POL,Poland,NBR,Number,0,Units,,,2.0,,
147,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,POL,Poland,NBR,Number,0,Units,,,1.0,,
148,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,0,Units,,,158.0,,
149,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,0,Units,,,108.0,,
150,ENDANGERED,Number of endangered species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,0,Units,,,7.0,,
151,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,0,Units,,,11.0,,
152,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,0,Units,,,13.0,,
153,THREATENED,Total number of threatened species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,0,Units,,,31.0,,
154,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,0,Units,,,7.0,,
155,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,0,Units,,,11.0,,
156,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,0,Units,,,13.0,,
157,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,0,Units,,,90.0,,
158,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,0,Units,,,85.0,,
159,ENDANGERED,Number of endangered species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,0,Units,,,6.0,,
160,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,0,Units,,,2.0,,
161,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,0,Units,,,12.0,,
162,THREATENED,Total number of threatened species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,0,Units,,,20.0,,
163,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,0,Units,,,6.0,,
164,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,0,Units,,,2.0,,
165,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,0,Units,,,12.0,,
166,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,ESP,Spain,NBR,Number,0,Units,,,174.0,,
167,ENDANGERED,Number of endangered species,MAMMAL,Mammals,ESP,Spain,NBR,Number,0,Units,,,6.0,,
168,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,ESP,Spain,NBR,Number,0,Units,,,2.0,,
169,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,ESP,Spain,NBR,Number,0,Units,,,18.0,,
170,THREATENED,Total number of threatened species,MAMMAL,Mammals,ESP,Spain,NBR,Number,0,Units,,,26.0,,
171,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,ESP,Spain,NBR,Number,0,Units,,,6.0,,
172,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,ESP,Spain,NBR,Number,0,Units,,,2.0,,
173,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,ESP,Spain,NBR,Number,0,Units,,,18.0,,
174,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,0,Units,,,65.0,,
175,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,0,Units,,,65.0,,
176,ENDANGERED,Number of endangered species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,0,Units,,,3.0,,
177,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,0,Units,,,5.0,,
178,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,0,Units,,,6.0,,
179,THREATENED,Total number of threatened species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,0,Units,,,14.0,,
180,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,0,Units,,,3.0,,
181,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,0,Units,,,5.0,,
182,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,SWE,Sweden,NBR,Number,0,Units,,,6.0,,
183,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,0,Units,,,93.0,,
184,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,0,Units,,,81.0,,
185,ENDANGERED,Number of endangered species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,0,Units,,,13.0,,
186,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,0,Units,,,5.0,,
187,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,0,Units,,,16.0,,
188,THREATENED,Total number of threatened species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,0,Units,,,34.0,,
189,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,0,Units,,,13.0,,
190,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,0,Units,,,5.0,,
191,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,CHE,Switzerland,NBR,Number,0,Units,,,16.0,,
192,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,TUR,Turkey,NBR,Number,0,Units,,,173.0,,
193,THREATENED,Total number of threatened species,MAMMAL,Mammals,TUR,Turkey,NBR,Number,0,Units,,,23.0,,
194,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,0,Units,,,107.0,,
195,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,0,Units,,,62.0,,
196,ENDANGERED,Number of endangered species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,0,Units,,,4.0,,
197,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,0,Units,,,2.0,,
198,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,0,Units,,,5.0,,
199,THREATENED,Total number of threatened species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,0,Units,,,11.0,,
200,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,0,Units,,,4.0,,
201,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,0,Units,,,2.0,,
202,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,GBR,United Kingdom,NBR,Number,0,Units,,,5.0,,
203,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,CHL,Chile,NBR,Number,0,Units,,,185.0,,
204,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,CHL,Chile,NBR,Number,0,Units,,,162.0,,
205,ENDANGERED,Number of endangered species,MAMMAL,Mammals,CHL,Chile,NBR,Number,0,Units,,,13.0,,
206,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,CHL,Chile,NBR,Number,0,Units,,,20.0,,
207,THREATENED,Total number of threatened species,MAMMAL,Mammals,CHL,Chile,NBR,Number,0,Units,,,36.0,,
208,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,CHL,Chile,NBR,Number,0,Units,,,13.0,,
209,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,CHL,Chile,NBR,Number,0,Units,,,20.0,,
210,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,EST,Estonia,NBR,Number,0,Units,,,66.0,,
211,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,EST,Estonia,NBR,Number,0,Units,,,60.0,,
212,ENDANGERED,Number of endangered species,MAMMAL,Mammals,EST,Estonia,NBR,Number,0,Units,,,1.0,,
213,THREATENED,Total number of threatened species,MAMMAL,Mammals,EST,Estonia,NBR,Number,0,Units,,,3.0,,
214,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,EST,Estonia,NBR,Number,0,Units,,,1.0,,
215,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,ISR,Israel,NBR,Number,0,Units,,,105.0,,
216,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,ISR,Israel,NBR,Number,0,Units,,,27.0,,
217,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,ISR,Israel,NBR,Number,0,Units,,,15.0,,
218,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,ISR,Israel,NBR,Number,0,Units,,,19.0,,
219,THREATENED,Total number of threatened species,MAMMAL,Mammals,RUS,Russia,NBR,Number,0,Units,,,34.0,,
220,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,SVN,Slovenia,NBR,Number,0,Units,,,89.0,,
221,ENDANGERED,Number of endangered species,MAMMAL,Mammals,SVN,Slovenia,NBR,Number,0,Units,,,19.0,,
222,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,SVN,Slovenia,NBR,Number,0,Units,,,15.0,,
223,THREATENED,Total number of threatened species,MAMMAL,Mammals,SVN,Slovenia,NBR,Number,0,Units,,,34.0,,
224,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,SVN,Slovenia,NBR,Number,0,Units,,,19.0,,
225,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,SVN,Slovenia,NBR,Number,0,Units,,,15.0,,
226,TOT_KNOWN,Total number of known species,BIRD,Birds,AUS,Australia,NBR,Number,0,Units,,,799.0,,
227,TOT_KNOWN_IND,Total number of indigenous known species,BIRD,Birds,AUS,Australia,NBR,Number,0,Units,,,782.0,,
228,ENDANGERED,Number of endangered species,BIRD,Birds,AUS,Australia,NBR,Number,0,Units,,,55.0,,
229,CRITICAL,Number of critically endangered species,BIRD,Birds,AUS,Australia,NBR,Number,0,Units,,,17.0,,
230,VULNERABLE,Number of vulnerable species,BIRD,Birds,AUS,Australia,NBR,Number,0,Units,,,63.0,,
231,THREATENED,Total number of threatened species,BIRD,Birds,AUS,Australia,NBR,Number,0,Units,,,135.0,,
232,ENDANGERED_IND,Number of endangered indigenous species,BIRD,Birds,AUS,Australia,NBR,Number,0,Units,,,55.0,,
233,CRITICAL_IND,Number of critically endangered indigenous species,BIRD,Birds,AUS,Australia,NBR,Number,0,Units,,,17.0,,
234,VULNERABLE_IND,Number of vulnerable indigenous species,BIRD,Birds,AUS,Australia,NBR,Number,0,Units,,,63.0,,
