survey_id,survey_name,language,last_connection_date,week_of_last_connection,start_time_of_last_connectio,duration_of_connection_in_seconds,duration_of_connection_in_minutes,last_question_filled,number_of_connections,disposition,total_duration_in_sec,device,device_os,survey_link,person_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7
465,DTP001,en,20210615,2,23:09:25,58,1,Q1_INTRO,1,2,58,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfG197jjJuHPfl01Z%2BpdipwLl7FFUU9mKgrPPCeNKNgwG,3417391,,,,,,,
43093,DTP001,en,20210623,3,02:26:59,314,5,Q1_INTRO,1,2,314,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfDK6FNkloHjOmV0OBT%2FU%2BC3wIXQEAXlxFnJ8sNF%2FKRYb,901477,,,,,,,
95418,DTP001,en,20210615,2,17:56:37,60,1,Q1_INTRO,1,2,60,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfJP9kxcrsmtD7vrxGN1zO4lb9Dc5jiZGuCf7tuPFqGjd,18138346,,,,,,,
4912,DTP001,en,20210615,2,18:08:42,61,1,Q1_INTRO,1,2,61,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfK%2FMa%2FB6svd8fCgO971bR8siJFeV9WLEK3ku72qQ9e4b,889793,,,,,,,
19467,DTP001,en,20210615,2,17:01:44,66,1,Q1_INTRO,1,2,66,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfIqzdhjrLaWYEGUurOBf9AbzXahrYVgB6dAC9ZAUmO1s,846589,,,,,,,
15031,DTP001,en,20210619,6,16:16:31,68,1,Q1_INTRO,3,2,68,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfEuhtxXQxtvfCmfGaW%2FPuM2N8sHjR7sarzzFH%2F4%2FCJu%2B,2517030,,,,,,,
33272,DTP001,en,20210622,2,23:24:15,72,1,Q1_INTRO,1,2,72,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfHKJYYW2%2Bj1rTUXszq%2BaCV3vxvOk3Dal7%2F7lFOult9T2,18797332,,,,,,,
47013,DTP001,en,20210616,3,19:19:06,77,1,Q1_INTRO,1,2,77,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfEtfU%2FVV5aWL6Ef5ZR1h8A7dQt0ZXLljQP%2Bpye9FKNnW,2603365,,,,,,,
40940,DTP001,en,20210615,2,17:26:01,80,1,Q1_INTRO,1,2,80,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfD5nb5pjQ4LiytMgpfz32wE1v8sBVk9%2FRheCb6DRRhxj,18848979,,,,,,,
14407,DTP001,en,20210614,1,18:51:22,88,1,Q1_INTRO,1,2,88,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfHSqZCUgUq1MwYTvs511KVI0AKGqdaJuj1GCP18WLwe7,17784368,,,,,,,
