,Province,Year,Scope 1 Total,Scope 1+2 Total,POP,GDP,Forest_Coverage_Rate,North,Mean_North_Winter_Temp
362,InnerMongolia,2012,635.165129618301,779.3933170772175,2464.0,10470.1,20.0,1,-1.86
363,Beijing,2012,97.99804082927608,160.58140591242957,2078.0,19024.7,31.72,1,-1.86
364,Jilin,2012,229.93690309238607,275.19755376515917,2698.0,8678.0,38.93,1,-1.86
365,Sichuan,2012,338.2872157355073,352.80102442626674,8085.0,23922.4,34.31,0,-1.86
366,Tianjin,2012,160.3253001381256,174.6235253482391,1378.0,9043.0,8.24,0,-1.86
367,Ningxia,2012,136.58613901575066,172.69671804798503,659.0,2131.0,9.84,1,-1.86
368,Anhui,2012,323.99626804468426,359.31402449397734,5978.0,18341.7,26.06,0,-1.86
369,Shandong,2012,872.9060006276727,920.5406860418072,9708.0,42957.3,16.72,1,-1.86
370,Shanxi,2012,501.49477254667363,575.7812858103134,3548.0,11683.1,14.12,1,-1.86
371,Guangdong,2012,513.4403169163063,609.2167071168163,11041.0,57007.7,49.44,0,-1.86
372,Guangxi,2012,208.20089517900544,222.7531696425781,4694.0,11303.6,52.71,0,-1.86
373,Xinjiang,2012,256.08089153868735,258.8261847378561,2253.0,7411.8,4.02,1,-1.86
374,Jiangsu,2012,656.742258033947,723.4600196253515,8120.0,53701.9,10.48,0,-1.86
375,Jiangxi,2012,166.15725369851023,176.69197438312725,4475.0,12807.7,58.32,0,-1.86
376,Hebei,2012,751.7754797228073,820.6765879473423,7262.0,23077.5,22.29,1,-1.86
377,Henan,2012,529.2456157585495,558.5569194517062,9532.0,28961.9,20.16,0,-1.86
378,Zhejiang,2012,380.75844116203814,419.1741922595884,5685.0,34382.4,57.41,0,-1.86
