,Province,Year,Scope 1 Total,Scope 1+2 Total,POP,GRP,Forest_Coverage_Rate,North,Mean_North_Winter_Temp
172,Gansu,2005,84.25,85.77,2545.0,1864.6,6.66,1,-0.85
173,Fujian,2005,123.9,123.13,3557.0,6415.5,62.96,0,-0.85
174,Guizhou,2005,145.6,133.56,3730.0,1939.9,23.83,0,-0.85
175,Liaoning,2005,279.64,299.77,4221.0,7260.8,32.97,1,-0.85
176,Chongqing,2005,81.64,93.34,2798.0,3448.4,22.25,0,-0.85
177,Shaanxi,2005,122.31,117.96,3690.0,3817.2,32.55,1,-0.85
178,Qinghai,2005,19.89,20.8,543.0,499.4,4.4,1,-0.85
179,Heilongjiang,2005,158.05,151.0,3820.0,4756.4,39.54,1,-0.85
180,Shanghai,2006,165.24,191.13,1964.0,10598.9,3.17,0,0.26
181,Yunnan,2006,150.19,143.54,4483.0,4090.7,40.77,0,0.26
182,InnerMongolia,2006,290.67,236.14,2415.0,4161.8,17.7,1,0.26
183,Beijing,2006,96.67,136.52,1601.0,8387.0,21.26,1,0.26
184,Jilin,2006,158.91,154.46,2723.0,3226.5,38.13,1,0.26
185,Sichuan,2006,189.78,187.68,8169.0,8494.7,30.27,0,0.26
186,Tianjin,2006,95.52,103.23,1075.0,3538.2,8.14,0,0.26
187,Ningxia,2006,58.83,58.43,604.0,683.3,6.08,1,0.26
188,Anhui,2006,175.77,169.98,6110.0,6500.3,24.03,0,0.26
189,Shandong,2006,605.51,603.06,9309.0,18967.8,13.44,1,0.26
190,Shanxi,2006,320.11,285.16,3375.0,4713.6,13.29,1,0.26
191,Guangdong,2006,376.16,431.6,9442.0,25961.2,46.49,0,0.26
192,Guangxi,2006,112.85,119.35,4719.0,4417.8,41.41,0,0.26
193,Xinjiang,2006,113.92,113.92,2050.0,2957.3,2.94,1,0.26
194,Jiangsu,2006,440.95,448.96,7656.0,21240.8,7.54,0,0.26
195,Jiangxi,2006,108.82,109.92,4339.0,4696.8,55.86,0,0.26
196,Hebei,2006,486.75,518.01,6898.0,10043.0,17.69,1,0.26
197,Henan,2006,378.97,374.24,9392.0,11977.9,16.19,0,0.26
198,Zhejiang,2006,290.25,305.57,5072.0,15302.7,54.41,0,0.26
199,Hainan,2006,19.19,19.19,836.0,1027.5,48.87,0,0.26
200,Hubei,2006,225.2,213.77,5693.0,7531.8,26.77,0,0.26
201,Hunan,2006,203.15,206.4,6342.0,7431.6,40.63,0,0.26
202,Gansu,2006,89.4,89.84,2547.0,2203.0,6.66,1,0.26
203,Fujian,2006,135.42,133.75,3585.0,7468.6,62.96,0,0.26
204,Guizhou,2006,169.64,144.83,3690.0,2264.1,23.83,0,0.26
205,Liaoning,2006,317.9,339.81,4271.0,8390.3,32.97,1,0.26
206,Chongqing,2006,90.03,101.9,2808.0,3900.3,22.25,0,0.26
207,Shaanxi,2006,128.68,131.48,3699.0,4595.6,32.55,1,0.26
208,Qinghai,2006,24.36,24.49,548.0,585.2,4.4,1,0.26
209,Heilongjiang,2006,179.03,171.08,3823.0,5329.8,39.54,1,0.26
210,Shanghai,2007,174.77,207.37,2064.0,12878.7,3.17,0,0.87
211,Yunnan,2007,161.23,151.7,4514.0,5077.4,40.77,0,0.87
212,InnerMongolia,2007,340.0,272.73,2429.0,5166.9,17.7,1,0.87
213,Beijing,2007,102.89,146.62,1676.0,10425.5,21.26,1,0.87
214,Jilin,2007,170.5,166.7,2730.0,4080.3,38.13,1,0.87
215,Sichuan,2007,208.48,208.1,8127.0,10562.1,30.27,0,0.87
216,Tianjin,2007,103.45,113.95,1115.0,4158.4,8.14,0,0.87
217,Ningxia,2007,66.5,65.64,610.0,877.6,6.08,1,0.87
218,Anhui,2007,197.65,189.8,6118.0,7941.6,24.03,0,0.87
219,Shandong,2007,662.96,662.96,9367.0,22718.1,13.44,1,0.87
220,Shanxi,2007,344.94,313.38,3393.0,5935.6,13.29,1,0.87
221,Guangdong,2007,410.14,482.15,9660.0,31742.6,46.49,0,0.87
222,Guangxi,2007,128.22,131.27,4768.0,5474.8,41.41,0,0.87
223,Xinjiang,2007,125.28,125.28,2095.0,3500.0,2.94,1,0.87
224,Jiangsu,2007,468.71,485.94,7723.0,25988.4,7.54,0,0.87
225,Jiangxi,2007,127.21,128.94,4368.0,5777.6,55.86,0,0.87
226,Hebei,2007,529.03,562.3,6943.0,12152.9,17.69,1,0.87
227,Henan,2007,426.24,422.85,9360.0,14824.5,16.19,0,0.87
228,Zhejiang,2007,325.33,338.08,5155.0,18640.0,54.41,0,0.87
229,Hainan,2007,21.67,21.67,845.0,1234.0,48.87,0,0.87
230,Hubei,2007,249.79,235.47,5699.0,9451.4,26.77,0,0.87
231,Hunan,2007,223.3,231.16,6355.0,9285.5,40.63,0,0.87
232,Gansu,2007,97.79,97.57,2548.0,2675.1,6.66,1,0.87
233,Fujian,2007,161.34,159.4,3612.0,9325.6,62.96,0,0.87
234,Guizhou,2007,171.98,146.52,3632.0,2847.5,23.83,0,0.87
235,Liaoning,2007,362.24,386.48,4298.0,10292.2,32.97,1,0.87
236,Chongqing,2007,99.17,109.34,2816.0,4770.7,22.25,0,0.87
237,Shaanxi,2007,148.12,144.28,3708.0,5681.8,32.55,1,0.87
238,Qinghai,2007,25.97,26.81,552.0,720.1,4.4,1,0.87
239,Heilongjiang,2007,187.37,178.39,3824.0,6126.3,39.54,1,0.87
240,Shanghai,2008,178.15,212.61,2141.0,14536.9,3.17,0,0.22
241,Yunnan,2008,163.77,153.77,4543.0,6016.6,40.77,0,0.22
242,InnerMongolia,2008,411.43,322.51,2444.0,6242.4,17.7,1,0.22
243,Beijing,2008,99.21,144.21,1771.0,11813.1,21.26,1,0.22
244,Jilin,2008,179.36,176.2,2734.0,4834.7,38.13,1,0.22
245,Sichuan,2008,230.14,230.89,8138.0,12756.2,30.27,0,0.22
246,Tianjin,2008,110.23,123.16,1176.0,5182.4,8.14,0,0.22
247,Ningxia,2008,75.39,73.53,618.0,1139.2,6.08,1,0.22
248,Anhui,2008,225.02,206.47,6135.0,9517.7,24.03,0,0.22
249,Shandong,2008,697.73,700.47,9417.0,27106.2,13.44,1,0.22
250,Shanxi,2008,370.91,331.86,3411.0,7223.0,13.29,1,0.22
251,Guangdong,2008,416.92,501.82,9893.0,36704.2,46.49,0,0.22
252,Guangxi,2008,132.98,134.64,4816.0,6455.4,41.41,0,0.22
253,Xinjiang,2008,137.19,137.19,2131.0,4142.5,2.94,1,0.22
254,Jiangsu,2008,496.58,524.59,7762.0,30945.5,7.54,0,0.22
255,Jiangxi,2008,130.29,135.53,4400.0,6934.2,55.86,0,0.22
256,Hebei,2008,554.43,599.78,6989.0,14200.1,17.69,1,0.22
257,Henan,2008,435.56,436.3,9429.0,17735.9,16.19,0,0.22
258,Zhejiang,2008,330.16,350.14,5212.0,21284.6,54.41,0,0.22
259,Hainan,2008,24.85,24.85,854.0,1474.7,48.87,0,0.22
260,Hubei,2008,253.98,240.07,5711.0,11497.5,26.77,0,0.22
261,Hunan,2008,226.52,254.69,6380.0,11307.4,40.63,0,0.22
262,Gansu,2008,103.35,105.14,2551.0,3071.7,6.66,1,0.22
263,Fujian,2008,165.75,165.59,3639.0,10931.8,62.96,0,0.22
264,Guizhou,2008,163.4,133.23,3596.0,3504.5,23.83,0,0.22
265,Liaoning,2008,371.41,398.52,4315.0,12137.7,32.97,1,0.22
266,Chongqing,2008,126.25,136.44,2839.0,5899.5,22.25,0,0.22
267,Shaanxi,2008,165.36,158.69,3718.0,7177.8,32.55,1,0.22
268,Qinghai,2008,31.57,32.83,554.0,896.9,4.4,1,0.22
269,Heilongjiang,2008,197.34,187.64,3825.0,7134.2,39.54,1,0.22
270,Shanghai,2009,179.06,215.67,2210.0,15742.4,3.17,0,-0.93
271,Yunnan,2009,187.17,172.56,4571.0,6574.4,40.77,0,-0.93
272,InnerMongolia,2009,445.31,351.94,2458.0,7104.2,17.7,1,-0.93
273,Beijing,2009,100.39,150.35,1860.0,12900.9,21.26,1,-0.93
274,Jilin,2009,185.73,182.35,2740.0,5434.8,38.13,1,-0.93
275,Sichuan,2009,263.11,259.48,8185.0,14190.6,30.27,0,-0.93
276,Tianjin,2009,122.35,137.64,1228.0,5709.6,8.14,0,-0.93
277,Ningxia,2009,80.0,79.48,625.0,1266.7,6.08,1,-0.93
278,Anhui,2009,251.51,223.3,6131.0,10864.7,24.03,0,-0.93
279,Shandong,2009,717.86,717.86,9470.0,29540.8,13.44,1,-0.93
280,Shanxi,2009,375.42,328.39,3427.0,7147.6,13.29,1,-0.93
281,Guangdong,2009,437.57,534.19,10130.0,39464.7,46.49,0,-0.93
282,Guangxi,2009,151.78,154.03,4856.0,7112.9,41.41,0,-0.93
283,Xinjiang,2009,156.68,156.68,2159.0,4237.0,2.94,1,-0.93
284,Jiangsu,2009,515.62,553.66,7810.0,34471.7,7.54,0,-0.93
285,Jiangxi,2009,142.18,150.45,4432.0,7630.0,55.86,0,-0.93
286,Hebei,2009,577.79,635.27,7034.0,15306.9,17.69,1,-0.93
287,Henan,2009,450.73,453.15,9487.0,19181.0,16.19,0,-0.93
288,Zhejiang,2009,338.47,361.9,5276.0,22833.7,54.41,0,-0.93
289,Hainan,2009,27.0,27.0,864.0,1620.3,48.87,0,-0.93
290,Hubei,2009,275.18,274.15,5720.0,13192.1,26.77,0,-0.93
291,Hunan,2009,239.05,264.81,6406.0,12772.8,40.63,0,-0.93
292,Gansu,2009,100.81,101.03,2555.0,3268.3,6.66,1,-0.93
293,Fujian,2009,187.82,186.09,3666.0,12418.1,62.96,0,-0.93
294,Guizhou,2009,184.7,146.45,3537.0,3856.7,23.83,0,-0.93
295,Liaoning,2009,406.89,436.37,4341.0,12815.7,32.97,1,-0.93
296,Chongqing,2009,133.08,146.08,2859.0,6651.2,22.25,0,-0.93
297,Shaanxi,2009,185.95,187.45,3727.0,7997.8,32.55,1,-0.93
298,Qinghai,2009,33.46,33.62,557.0,939.7,4.4,1,-0.93
299,Heilongjiang,2009,203.17,200.55,3826.0,7218.9,39.54,1,-0.93
300,Shanghai,2010,195.5,231.09,2303.0,17915.4,9.41,0,-1.36
301,Yunnan,2010,198.13,181.84,4602.0,7735.3,47.5,0,-1.36
